id,book,page_num,chapter,chapter_title,section_title,content_length,has_figures,has_equations,has_references,has_captions,n_drawings,n_raster_images,page_type,img_path,qc_status
923,Fundamental_Neuroscience,422,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,3670,f,f,f,t,3,0,text,,passed
924,Fundamental_Neuroscience,423,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,3970,t,f,f,t,22,0,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0423.jpg,passed
927,Fundamental_Neuroscience,426,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,1571,t,f,f,f,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0426.jpg,passed
929,Fundamental_Neuroscience,428,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,55,t,f,f,f,1,1,figure,/home/claude/bri610-tutor/data/textbook_images/FN/p0428.jpg,passed
930,Fundamental_Neuroscience,429,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,6025,f,f,f,t,2,0,text,,passed
931,Fundamental_Neuroscience,430,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,55,t,f,f,f,1,1,figure,/home/claude/bri610-tutor/data/textbook_images/FN/p0430.jpg,passed
932,Fundamental_Neuroscience,431,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,5722,f,f,f,t,1,0,text,,passed
933,Fundamental_Neuroscience,432,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,3674,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0432.jpg,passed
935,Fundamental_Neuroscience,434,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,5479,f,f,f,t,1,0,text,,passed
936,Fundamental_Neuroscience,435,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,101,t,f,f,f,1,1,figure,/home/claude/bri610-tutor/data/textbook_images/FN/p0435.jpg,passed
937,Fundamental_Neuroscience,436,18,"Target Selection, Topographic Maps, and Synapse Formation",TARGET SELECTION,6459,f,f,f,t,2,0,text,,passed
938,Fundamental_Neuroscience,437,18,"Target Selection, Topographic Maps, and Synapse Formation",DEVELOPMENT OF THE NEUROMUSCULAR SYNAPSE,5261,f,f,f,t,2,0,text,,passed
972,Fundamental_Neuroscience,471,19,Programmed Cell Death and Neurotrophic Factors,NERVE GROWTH FACTOR: THE PROTOTYPE TARGET-DERIVED NEURONAL SURVIVAL FACTOR,5354,f,f,f,t,2,0,text,,passed
973,Fundamental_Neuroscience,472,19,Programmed Cell Death and Neurotrophic Factors,NERVE GROWTH FACTOR: THE PROTOTYPE TARGET-DERIVED NEURONAL SURVIVAL FACTOR,3849,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0472.jpg,passed
974,Fundamental_Neuroscience,473,19,Programmed Cell Death and Neurotrophic Factors,THE NEUROTROPHIN FAMILY,3238,t,f,f,t,2,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0473.jpg,passed
975,Fundamental_Neuroscience,474,19,Programmed Cell Death and Neurotrophic Factors,NEUROTROPHIN RECEPTORS,5258,f,f,f,t,2,0,text,,passed
940,Fundamental_Neuroscience,439,18,"Target Selection, Topographic Maps, and Synapse Formation",DEVELOPMENT OF THE NEUROMUSCULAR SYNAPSE,2134,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0439.jpg,passed
941,Fundamental_Neuroscience,440,18,"Target Selection, Topographic Maps, and Synapse Formation",DEVELOPMENT OF THE NEUROMUSCULAR SYNAPSE,3959,t,f,f,t,1,2,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0440.jpg,passed
942,Fundamental_Neuroscience,441,18,"Target Selection, Topographic Maps, and Synapse Formation",DEVELOPMENT OF THE NEUROMUSCULAR SYNAPSE,4961,f,f,f,t,3,0,text,,passed
943,Fundamental_Neuroscience,442,18,"Target Selection, Topographic Maps, and Synapse Formation",DEVELOPMENT OF THE NEUROMUSCULAR SYNAPSE,3821,t,f,f,t,91,4,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0442.jpg,passed
944,Fundamental_Neuroscience,443,18,"Target Selection, Topographic Maps, and Synapse Formation",DEVELOPMENT OF THE NEUROMUSCULAR SYNAPSE,5539,f,f,f,t,1,0,text,,passed
945,Fundamental_Neuroscience,444,18,"Target Selection, Topographic Maps, and Synapse Formation",DEVELOPMENT OF THE NEUROMUSCULAR SYNAPSE,3666,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0444.jpg,passed
946,Fundamental_Neuroscience,445,18,"Target Selection, Topographic Maps, and Synapse Formation",DEVELOPMENT OF THE NEUROMUSCULAR SYNAPSE,5201,f,f,f,t,1,0,text,,passed
947,Fundamental_Neuroscience,446,18,"Target Selection, Topographic Maps, and Synapse Formation",DEVELOPMENT OF THE NEUROMUSCULAR SYNAPSE,2808,t,f,f,t,1,2,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0446.jpg,passed
948,Fundamental_Neuroscience,447,18,"Target Selection, Topographic Maps, and Synapse Formation",SYNAPSE FORMATION IN THE CENTRAL NERVOUS SYSTEM,5141,f,f,f,t,2,0,text,,passed
949,Fundamental_Neuroscience,448,18,"Target Selection, Topographic Maps, and Synapse Formation",SYNAPSE FORMATION IN THE CENTRAL NERVOUS SYSTEM,5706,f,f,f,t,1,0,text,,passed
950,Fundamental_Neuroscience,449,18,"Target Selection, Topographic Maps, and Synapse Formation",SYNAPSE FORMATION IN THE CENTRAL NERVOUS SYSTEM,990,t,t,f,t,0,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0449.jpg,passed
951,Fundamental_Neuroscience,450,18,"Target Selection, Topographic Maps, and Synapse Formation",SYNAPSE FORMATION IN THE CENTRAL NERVOUS SYSTEM,4559,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0450.jpg,passed
